White Bass|Morone chrysops|Fanshawe Dam|London, Canada|2014-08-13
Round Goby|Neogobius melanostomus|Jackson's Point|Georgina, Canada|2015-05-17
Yellow Perch|Perca flavescens|Jackson's Point|Georgina, Canada|2015-05-17
Rock Bass|Ambloplites rupestris|Jackson's Point|Georgina, Canada|2015-05-17
Rainbow Trout|Oncorhynchus mykiss|Rouge River|Toronto, Canada|2015-05-18
Allegheny Crayfish|Orconectes obscurus|Rouge River|Toronto, Canada|2015-05-18
Pumpkinseed|Lepomis gibbosus|Rouge River|Toronto, Canada|2015-05-18
Smallmouth Bass|Micropterus dolomieu|Coldstream Conservation Area|London, Canada|2015-05-24
Painted Turtle|Chrysemys picta|Coldstream Conservation Area|London, Canada|2015-05-24
Bowfin|Amia calva|Toronto Centre Island|Toronto, Canada|2015-06-02
Brown Bullhead|Ameiurus nebulosus|Rouge River|Toronto, Canada|2015-06-05
Common Shiner|Luxilus cornutus|Rouge River|Toronto, Canada|2015-06-09
Brown Trout|Salmo trutta|Elora Gorge Conservation Area|Waterloo, Canada|2015-06-12
Bluegill|Lepomis macrochirus|Deer Creek Conservation Area|Langton, Canada|2015-06-14
Largemouth Bass|Micropterus salmoides|Deer Creek Conservation Area|Langton, Canada|2015-06-14
Creek Chub|Semotilus atromaculatus|Rough River|Toronto, Canada|2015-06-18
Common Carp|Cyprinus carpio|Black Ditch|Xi'An, China|2015-06-24
Shortnose Ponyfish|Leiognathus brevirostris|North Point Public Pier|Hong Kong, China|2015-09-09
Marbled Rockfish|Sebastiscus marmoratus|Stanley Beach|Hong Kong, China|2015-09-10
Broadbanded Cardinalfish|Ostorhinchus fasciatus|North Point Public Pier|Hong Kong, China|2015-09-10
White Seaperch|Phanerodon furcatus|Half Moon Bay|Half Moon Bay, USA|2016-01-30
Pacific Sanddab|Citharichthys sordidus|Moss Landing|Moss Landing, USA|2016-02-06
Chilipepper Rockfish|Sebastes goodei|Moss Landing|Moss Landing, USA|2016-02-06
Chub Mackerel|Scomber japonicus|Moss Landing|Moss Landing, USA|2016-02-06
California Lizardfish|Synodus luciocepsis|Moss Landing|Moss Landing, USA|2016-02-06
Jacksmelt|Atherinopsis californiensis|Coyote Point|San Mateo, USA|2016-02-27
Cabezon|Scorpaenichthys marmoratus|Half Moon Bay|Half Moon Bay, USA|2016-03-19
Walleye Surfperch|Hyperprosopon argenteum|Half Moon Bay|Half Moon Bay, USA|2016-03-19
Striped Surfperch|Embiotoca lateralis|Half Moon Bay|Half Moon Bay, USA|2016-04-02
Black Bullhead|Ameiurus melas|Frenchman's Bay|Pickering, Canada|2016-05-01
Monkeyface Prickleback|Cebidichthys violaceus|Pidgeon Point Lighthouse|California, USA|2016-06-18
Padded Sculpin|Artedius fenestralis|Pidgeon Point Lighthouse|California, USA|2016-06-18
Kelp Greenling|Hexagrammos decagrammus|Tundali Cove|Tundali Cove, USA|2016-09-04
Black Rockfish|Sebastes melanops|Tundali Cove|Tundali Cove, USA|2016-09-04
Yellowtail Rockfish|Sebastes flavidus|Farallon Islands|Farallon Islands, USA|2017-05-28
Vermilion Rockfish|Sebastes miniatus|Farallon Islands|Farallon Islands, USA|2017-05-28
Greenspotted Rockfish|Sebastes chlorostictus|Farllon Islands|Farallon Islands, USA|2017-05-28
Black and Yellow Rockfish|Sebastes chrysomelas|Fort Ross|Timber Cove, USA|2017-09-09
Blue Rockfish|Sebastes mystinus|Fort Ross|Timber Cove, USA|2017-09-16
Black Surfperch|Embiotoca jacksoni|Half Moon Bay|Half Moon Bay, USA|2018-02-25
